ID;Gender;Own_car;Own_property;Work_phone;Phone;Email;Unemployed;Num_children;Num_family;Account_length;Total_income;Age;Years_employed;Income_type;Education_type;Family_status;Housing_type;Occupation_type;Target
5009058;0;1;1;0;1;1;0;0;1;0;112500.0;20.504.185.575.336.900;21.821.118.845.698.400;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Private service staff;0
5009060;0;0;1;0;1;0;1;0;2;3;94500.0;61.140.201.373.060.300;0.0;Pensioner;Higher education;Married;House / apartment;Other;0
5009062;1;1;1;0;0;0;0;0;2;45;315000.0;28.611.128.223.029.900;568.663.285.351.513;Working;Secondary / secondary special;Civil marriage;House / apartment;Sales staff;0
5009071;0;1;1;0;1;1;0;0;2;20;270000.0;28.101.877.519.730.000;8.687.378.933.174.530;Commercial associate;Incomplete higher;Civil marriage;Municipal apartment;High skill tech staff;0
5009074;0;1;1;0;1;1;0;1;3;22;450000.0;48.532.139.605.878.200;19.384.381.609.478.600;State servant;Higher education;Married;House / apartment;Core staff;0
5009078;1;0;1;0;0;0;0;1;3;30;180000.0;386.647.227.526.917;3.520.948.410.987.220;Working;Secondary / secondary special;Married;With parents;Drivers;0
5009079;0;0;1;0;0;1;0;0;2;43;112500.0;27.554.296.118.332.300;8.687.378.933.174.530;Working;Higher education;Civil marriage;House / apartment;Laborers;0
5009083;1;0;1;0;0;0;0;0;2;51;90000.0;5.621.196.876.048.100;15.688.207.150.044.100;Working;Secondary / secondary special;Married;House / apartment;Drivers;0
5009088;1;1;0;0;0;0;0;2;4;46;202500.0;4.032.937.021.294.070;818.360.404.388.865;Commercial associate;Higher education;Married;House / apartment;Laborers;0
5009090;1;1;1;0;0;0;0;0;2;13;247500.0;3.457.428.968.425.080;11.020.075.703.128.700;Working;Secondary / secondary special;Married;House / apartment;Drivers;0
5009092;1;1;1;1;0;0;0;1;3;3;765000.0;33.394.251.764.238.800;3.269.060.966.344.270;Working;Higher education;Married;House / apartment;Managers;1
5009096;0;0;1;0;0;1;0;1;3;24;270000.0;37.451.829.948.595.700;12.022.149.667.686.500;Commercial associate;Secondary / secondary special;Married;House / apartment;Accountants;0
5009099;0;0;1;0;0;0;0;0;1;56;315000.0;3.633.476.388.974.440;15.195.383.888.786.200;Working;Higher education;Separated;House / apartment;Managers;0
5009103;1;1;1;0;1;0;0;2;4;38;157500.0;3.520.674.620.286.520;11.104.950.820.345.300;Working;Secondary / secondary special;Married;With parents;Drivers;0
5009108;1;0;1;0;0;0;0;0;2;7;360000.0;4.194.747.325.407.090;752.103.054.819.743;Commercial associate;Secondary / secondary special;Married;House / apartment;Security staff;0
5009110;0;0;1;0;0;1;0;0;2;3;112500.0;24.208.573.755.792.300;0.8542269861804144;Commercial associate;Higher education;Married;House / apartment;High skill tech staff;1
5009116;0;0;0;0;0;0;0;0;1;35;157500.0;4.308.644.256.897.810;11.827.758.270.190.300;Commercial associate;Higher education;Separated;With parents;Other;0
5009133;1;0;1;0;0;0;1;0;1;16;382500.0;5.933.865.856.246.190;0.0;Pensioner;Secondary / secondary special;Widow;House / apartment;Other;0
5009141;0;0;0;1;1;0;0;0;2;33;135000.0;26.439.967.966.488.000;4.271.134.930.902.070;Working;Secondary / secondary special;Civil marriage;House / apartment;Managers;0
5009143;1;1;0;0;0;0;1;0;2;11;225000.0;50.073.581.250.812.800;0.0;Pensioner;Secondary / secondary special;Civil marriage;House / apartment;Other;1
5009145;1;1;0;1;1;0;0;0;2;36;315000.0;43.327.378.385.593.100;10.185.014.065.997.200;Working;Higher education;Married;House / apartment;Managers;0
5009151;0;0;0;0;0;0;0;0;2;29;180000.0;5.359.452.966.180.000;7.942.668.227.273.660;Working;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009163;0;0;0;0;1;0;0;0;2;12;157500.0;35.360.068.995.256.500;8.690.116.840.181.520;Working;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009170;0;1;0;0;1;1;1;0;2;30;144000.0;6.263.509.859.887.600;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009177;1;1;0;0;0;0;0;0;2;49;229500.0;50.172.145.903.064.400;34.388.112.007.775.600;Working;Incomplete higher;Married;Co-op apartment;Laborers;1
5009186;0;0;0;1;1;0;0;0;2;3;270000.0;4.811.323.983.380.900;15.857.957.384.477.400;Working;Higher education;Married;House / apartment;Managers;1
5009195;0;0;0;1;1;0;0;0;2;21;292500.0;573.673.655.174.302;237.759.844.486.882;State servant;Secondary / secondary special;Married;House / apartment;Accountants;0
5009213;0;0;0;1;1;0;0;0;2;22;270000.0;3.376.660.711.718.920;23.546.000.260.101.100;Working;Higher education;Married;House / apartment;Accountants;0
5009220;0;1;0;1;0;0;0;0;2;27;225000.0;4.015.688.207.150.040;21.848.497.915.768.200;Working;Secondary / secondary special;Married;House / apartment;Managers;0
5009238;1;1;0;0;1;0;0;0;2;24;157500.0;29.051.931.251.155.000;26.886.246.808.627.100;Working;Incomplete higher;Married;With parents;Drivers;0
5009242;0;0;0;0;1;0;0;0;1;34;74250.0;522.447.415.073.547;14.354.846.437.640.700;Working;Higher education;Separated;Municipal apartment;Core staff;0
5009246;0;0;0;0;1;0;0;0;2;31;135000.0;388.810.174.062.438;58.563.830.879.484.100;Commercial associate;Secondary / secondary special;Married;House / apartment;Other;0
5009249;1;1;0;1;0;0;0;1;3;26;135000.0;2.726.134.006.858.450;25.216.123.534.364.100;Working;Secondary / secondary special;Married;House / apartment;Drivers;0
5009255;0;0;0;0;0;0;0;0;1;6;144000.0;4.372.437.490.160.640;24.605.570.271.805.700;Working;Secondary / secondary special;Single / not married;House / apartment;Cleaning staff;0
5009260;0;0;0;0;1;0;0;0;2;19;202500.0;39.869.401.835.766.600;35.236.863.179.942.000;State servant;Higher education;Married;With parents;Core staff;0
5009264;0;0;0;0;0;0;1;0;1;21;40500.0;57.745.196.684.394.600;0.0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;Other;1
5009265;1;1;0;1;1;0;0;0;2;47;337500.0;2.810.735.333.374.400;4.523.022.375.545.010;State servant;Higher education;Married;With parents;Managers;0
5009270;1;0;0;0;1;0;0;0;2;28;180000.0;4.046.900.347.029.710;6.688.706.818.072.920;Commercial associate;Secondary / secondary special;Married;Municipal apartment;Laborers;0
5009278;0;0;0;0;1;0;0;0;2;20;130500.0;4.145.191.208.580.600;13.185.760.145.656.600;Working;Secondary / secondary special;Civil marriage;House / apartment;Cleaning staff;0
5009295;0;0;0;0;1;0;1;0;2;33;144000.0;5.760.830.133.404.510;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009297;0;0;0;0;1;0;0;0;1;22;193500.0;44.077.564.905.507.900;5.108.934.475.040.550;Working;Secondary / secondary special;Single / not married;Municipal apartment;Laborers;1
5009302;0;0;0;0;0;0;1;0;1;25;112500.0;6.040.096.648.117.340;0.0;Pensioner;Secondary / secondary special;Widow;House / apartment;Other;0
5009306;0;1;0;0;1;1;1;0;2;60;135000.0;55.141.447.120.748.500;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009325;1;1;0;0;1;0;0;0;2;16;267750.0;5.747.140.598.369.570;12.942.086.422.034.600;Working;Higher education;Married;House / apartment;Laborers;0
5009335;0;0;0;0;0;0;0;0;1;9;139500.0;4.436.230.723.423.470;19.439.139.749.618.400;Working;Higher education;Separated;House / apartment;Managers;0
5009338;1;0;0;1;1;0;0;0;2;12;67500.0;5.112.767.544.850.330;14.521.858.765.067.000;Working;Secondary / secondary special;Married;House / apartment;Security staff;0
5009340;1;1;0;0;0;0;0;0;2;57;252000.0;29.432.500.325.126.400;6.688.706.818.072.920;Working;Secondary / secondary special;Married;House / apartment;High skill tech staff;0
5009349;1;0;0;0;1;0;0;0;2;30;180000.0;5.792.042.273.284.180;0.355927910908506;Commercial associate;Lower secondary;Married;House / apartment;Drivers;0
5009355;0;0;0;1;1;0;0;0;2;25;135000.0;53.914.864.781.617.600;144.369.836.478.504;Commercial associate;Secondary / secondary special;Married;House / apartment;Laborers;0
5009359;0;1;0;0;0;0;0;0;1;15;900000.0;5.219.272.127.422.190;2.027.146.347.974.290;Working;Higher education;Single / not married;House / apartment;Managers;1
5009361;1;1;0;1;0;0;0;0;2;47;180000.0;4.070.446.347.289.810;16.044.135.060.952.600;Commercial associate;Higher education;Civil marriage;House / apartment;Drivers;0
5009368;1;1;0;0;1;1;1;0;2;40;115290.0;6.348.384.977.104.250;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009378;0;0;0;1;0;1;0;2;4;39;225000.0;30.886.328.945.837.300;4.774.909.820.187.950;Working;Higher education;Married;House / apartment;Core staff;0
5009379;1;1;0;1;0;0;0;1;3;32;135000.0;25.818.463.075.901.600;32.717.988.733.512.600;Working;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009383;0;0;0;0;1;0;0;0;2;30;450000.0;40.296.515.328.856.800;15.272.045.284.981.800;State servant;Higher education;Married;House / apartment;Managers;0
5009389;1;0;0;0;0;0;0;0;1;21;279000.0;302.319.691.711.671;8.690.116.840.181.520;State servant;Higher education;Single / not married;House / apartment;Core staff;1
5009396;0;0;0;1;0;0;0;1;3;55;76500.0;3.424.026.502.939.820;13.552.639.684.593.100;Working;Higher education;Civil marriage;House / apartment;Accountants;0
5009402;1;0;0;1;1;0;0;0;2;7;202500.0;5.641.183.597.199.120;0.6899525657611039;Commercial associate;Secondary / secondary special;Married;House / apartment;Security staff;0
5009404;0;0;0;0;1;0;0;2;4;7;67500.0;2.828.531.728.919.820;11.855.137.340.260.200;Commercial associate;Higher education;Married;House / apartment;Core staff;0
5009405;1;0;0;1;1;0;0;0;2;20;234000.0;3.811.987.925.830.090;6.269.807.046.003.680;Working;Incomplete higher;Married;House / apartment;Drivers;0
5009415;0;0;0;1;1;0;0;0;1;7;90000.0;5.285.255.686.290.610;12.703.888.512.426.600;Working;Secondary / secondary special;Single / not married;House / apartment;Core staff;1
5009423;0;0;0;0;0;0;0;0;2;9;81000.0;5.357.810.221.975.810;27.734.997.980.793.500;Working;Secondary / secondary special;Civil marriage;House / apartment;Security staff;0
5009424;1;0;0;1;0;0;0;0;1;38;108000.0;2.240.155.513.117.990;36.058.235.282.038.600;Working;Secondary / secondary special;Single / not married;Co-op apartment;Cooking staff;1
5009426;1;0;0;0;0;0;1;0;2;10;99000.0;546.048.173.473.788;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009428;1;0;0;1;0;0;0;0;1;14;198000.0;2.370.206.095.949.950;31.869.237.561.346.200;Working;Secondary / secondary special;Single / not married;With parents;Laborers;0
5009431;1;1;0;1;1;0;0;0;2;13;360000.0;4.061.685.044.867.450;32.717.988.733.512.600;State servant;Higher education;Married;Municipal apartment;Drivers;0
5009435;0;0;0;0;1;0;1;0;2;23;135000.0;54.593.865.719.350.800;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009436;0;0;0;0;0;0;1;0;2;3;76500.0;6.428.605.652.409.010;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009441;0;0;0;0;1;0;0;0;2;7;90000.0;25.979.999.589.313.900;460.515.958.575.467;State servant;Secondary / secondary special;Married;House / apartment;Other;0
5009445;0;1;0;1;0;0;0;0;2;16;270000.0;3.793.370.158.182.570;2.023.313.278.164.500;Commercial associate;Incomplete higher;Civil marriage;House / apartment;Other;1
5009447;1;1;0;1;0;0;0;0;2;7;81000.0;39.521.687.645.879.100;9.270.553.125.663.080;Working;Secondary / secondary special;Married;With parents;Drivers;0
5009450;0;0;0;0;1;0;0;0;2;31;202500.0;4.729.460.563.871.940;36.906.986.454.205.000;State servant;Higher education;Married;House / apartment;Laborers;0
5009459;0;0;0;1;1;0;0;0;2;28;157500.0;5.394.224.385.168.750;2.702.314.215.897.650;Working;Secondary / secondary special;Married;House / apartment;Other;0
5009473;0;0;0;0;1;0;0;0;2;54;180000.0;3.625.262.667.953.480;12.186.424.088.105.800;Commercial associate;Higher education;Married;House / apartment;Other;0
5009484;0;0;0;0;0;0;0;0;2;54;135000.0;33.210.811.994.770.500;21.848.497.915.768.200;Working;Secondary / secondary special;Married;Municipal apartment;Cooking staff;0
5009487;0;0;0;0;0;0;0;2;4;58;135000.0;2.665.626.262.004.010;7.857.793.110.057.010;Working;Secondary / secondary special;Married;House / apartment;Other;0
5009490;1;1;0;1;1;0;0;0;2;39;135000.0;4.434.314.188.518.580;1.702.430.576.945.450;Commercial associate;Secondary / secondary special;Married;House / apartment;Laborers;0
5009493;1;1;0;1;0;1;0;0;2;46;270000.0;3.204.993.942.380.740;31.869.237.561.346.200;Commercial associate;Secondary / secondary special;Married;House / apartment;Drivers;0
5009507;0;0;0;0;1;0;0;0;2;11;202500.0;4.408.030.281.251.490;1.352.252.270.751.620;Working;Higher education;Married;House / apartment;Core staff;0
5009512;0;0;0;0;0;0;0;0;2;22;157500.0;4.623.777.353.402.190;73.567.561.277.781.100;Working;Incomplete higher;Married;House / apartment;Core staff;0
5009518;1;1;0;1;0;0;0;2;4;3;180000.0;3.412.253.502.809.770;5.941.258.205.165.060;Working;Incomplete higher;Married;House / apartment;Laborers;0
5009523;1;1;0;1;0;0;0;1;2;10;112500.0;3.284.940.826.984.810;3.107.524.452.931.950;Working;Secondary / secondary special;Separated;Co-op apartment;Laborers;0
5009526;0;1;0;0;1;0;0;0;2;16;157500.0;3.720.815.622.497.380;26.886.246.808.627.100;Commercial associate;Secondary / secondary special;Married;House / apartment;Other;0
5009536;1;1;0;1;0;0;0;0;2;15;216000.0;4.231.435.279.300.730;24.367.372.362.197.700;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5009537;0;1;0;1;1;0;0;0;2;56;202500.0;4.251.148.209.751.050;4.774.909.820.187.950;Commercial associate;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009543;0;0;0;0;0;0;0;0;2;59;198000.0;5.150.824.452.247.470;2.668.911.750.412.390;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;Laborers;0
5009562;0;0;0;0;1;0;1;0;1;33;157500.0;5.558.498.805.588.060;0.0;Pensioner;Secondary / secondary special;Widow;House / apartment;Other;0
5009565;1;1;0;1;1;0;0;0;2;39;180000.0;4.148.750.487.689.680;8.605.241.722.964.870;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5009575;0;1;0;0;0;0;0;0;2;23;315000.0;4.674.702.423.732.170;21.848.497.915.768.200;Working;Secondary / secondary special;Married;House / apartment;Accountants;0
5009577;0;0;0;0;0;0;1;0;2;23;112500.0;5.836.122.576.096.700;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009582;0;0;0;0;0;0;0;0;1;40;90000.0;31.984.229.655.639.700;18.563.009.507.382.000;Working;Secondary / secondary special;Separated;House / apartment;Sales staff;1
5009585;0;0;0;0;1;0;0;0;1;30;45000.0;39.354.675.318.452.800;21.848.497.915.768.200;Working;Secondary / secondary special;Separated;House / apartment;Sales staff;0
5009590;0;1;0;0;1;0;0;0;2;7;225000.0;23.239.354.675.318.400;5.024.059.357.823.910;Working;Secondary / secondary special;Married;House / apartment;Other;0
5009592;0;0;0;0;1;0;1;0;1;17;112500.0;6.442.842.768.845.350;0.0;Pensioner;Secondary / secondary special;Single / not married;Rented apartment;Other;0
5009593;0;1;0;1;1;0;0;0;2;21;144000.0;4.759.303.750.248.120;24.367.372.362.197.700;Working;Secondary / secondary special;Married;House / apartment;Core staff;0
5009602;0;1;0;1;1;0;0;0;2;42;315000.0;3.683.853.877.903.030;7.523.768.455.204.410;Commercial associate;Higher education;Married;House / apartment;Sales staff;0
5009603;0;0;0;1;0;0;0;1;3;37;112500.0;3.524.233.899.395.600;10.185.014.065.997.200;Working;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009607;0;0;0;1;1;0;0;2;4;23;144000.0;3.361.328.432.479.790;26.886.246.808.627.100;Working;Secondary / secondary special;Married;House / apartment;High skill tech staff;0
5009617;1;1;0;0;0;0;1;0;2;55;225000.0;4.754.923.099.036.940;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009620;1;1;0;1;0;0;0;0;2;41;135000.0;52.173.555.925.173;0.27105279369186225;Working;Secondary / secondary special;Married;House / apartment;Drivers;0
5009625;0;0;0;1;0;0;0;0;2;41;238500.0;5.285.529.476.991.310;902.414.149.503.412;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5009631;0;0;0;0;1;0;0;0;2;27;112500.0;2.707.790.029.911.630;5.604.495.643.305.470;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5009633;1;1;0;1;0;0;0;1;3;23;144000.0;27.513.227.513.227.500;0.7748276829777476;Working;Incomplete higher;Married;House / apartment;Drivers;0
5009636;0;0;0;0;1;0;1;0;2;13;90000.0;5.866.239.553.173.570;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009642;1;0;0;1;0;0;0;0;1;1;202500.0;2.324.209.258.232.540;25.216.123.534.364.100;Commercial associate;Secondary / secondary special;Single / not married;With parents;Other;0
5009646;1;0;0;1;0;0;0;0;1;15;117000.0;40.217.116.025.654.100;10.023.477.552.584.900;Working;Secondary / secondary special;Single / not married;House / apartment;Low-skill Laborers;0
5009651;0;0;0;0;1;0;0;0;2;60;135000.0;5.106.196.568.033.560;29.941.751.028.426.300;State servant;Secondary / secondary special;Married;House / apartment;Other;0
5009660;1;0;0;1;0;0;0;0;1;40;225000.0;2.783.356.263.304.510;4.857.047.030.397.610;Working;Higher education;Single / not married;House / apartment;Other;0
5009664;0;0;0;0;0;0;1;0;1;27;126000.0;5.254.317.337.111.640;0.0;Pensioner;Secondary / secondary special;Separated;House / apartment;Other;1
5009671;0;0;0;1;0;0;0;0;2;8;135000.0;4.327.262.024.545.330;11.855.137.340.260.200;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;Core staff;0
5009673;0;0;0;0;1;0;1;0;1;30;90000.0;59.379.727.167.566.700;0.0;Pensioner;Secondary / secondary special;Widow;House / apartment;Other;0
5009689;0;0;0;0;1;0;1;0;1;43;153000.0;63.790.495.355.825.200;0.0;Pensioner;Secondary / secondary special;Separated;House / apartment;Other;0
5009694;1;1;0;0;1;1;0;0;2;45;1350000.0;3.559.005.318.384.360;4.271.134.930.902.070;Commercial associate;Higher education;Married;Municipal apartment;Managers;1
5009701;0;0;0;0;0;0;1;0;2;3;139500.0;5.712.095.388.680.120;0.0;Pensioner;Secondary / secondary special;Married;House / apartment;Other;0
5009706;0;0;0;0;0;0;0;0;2;4;157500.0;31.880.189.189.374.100;0.9418400104040466;Working;Higher education;Married;House / apartment;Managers;0
5009711;0;1;0;1;1;0;0;0;2;4;135000.0;30.396.243.591.586.400;11.855.137.340.260.200;Working;Secondary / secondary special;Civil marriage;With parents;Sales staff;0
5009713;1;0;0;1;1;0;0;0;1;38;180000.0;25.681.567.725.552.200;4.690.034.702.971.310;Working;Secondary / secondary special;Single / not married;House / apartment;Other;1
5009719;0;0;0;1;1;0;0;0;1;23;225000.0;52.885.411.746.990.000;12.186.424.088.105.800;Working;Secondary / secondary special;Single / not married;House / apartment;Other;0
5009724;0;0;0;0;1;0;0;0;2;41;135000.0;27.069.686.578.095.300;6.773.581.935.289.560;Working;Higher education;Married;House / apartment;Sales staff;0
5009729;1;1;0;1;0;0;0;0;2;4;292500.0;3.608.013.853.809.450;36.058.235.282.038.600;Working;Secondary / secondary special;Married;House / apartment;Laborers;0
5009732;0;1;0;1;1;0;0;0;2;49;270000.0;52.953.859.422.164.700;20.025.051.849.113.900;Commercial associate;Higher education;Married;House / apartment;Managers;0
5009736;0;1;0;1;1;0;0;0;2;34;99000.0;4.012.950.300.143.050;12.024.887.574.693.500;Working;Secondary / secondary special;Married;House / apartment;Core staff;0
5009742;0;0;0;1;1;0;0;0;2;14;135000.0;33.752.917.582.154.300;6.773.581.935.289.560;Working;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009745;0;1;0;1;1;0;0;0;2;46;315000.0;37.117.805.293.743.100;16.044.135.060.952.600;Commercial associate;Higher education;Married;House / apartment;Other;1
5009757;1;1;0;0;0;0;0;0;1;26;270000.0;24.879.360.972.504.500;460.515.958.575.467;Working;Higher education;Single / not married;House / apartment;Laborers;0
5009762;1;0;0;0;0;0;0;0;1;16;135000.0;3.865.377.112.466.370;8.690.116.840.181.520;Working;Secondary / secondary special;Separated;House / apartment;Laborers;0
5009783;1;1;0;1;0;0;0;2;4;28;445500.0;40.811.241.846.170.600;18.688.953.229.703.500;State servant;Higher education;Married;Municipal apartment;Core staff;0
5009785;0;0;0;0;1;0;1;0;1;6;198000.0;6.023.942.996.776.110;0.0;Pensioner;Secondary / secondary special;Widow;House / apartment;Other;0
5009799;0;1;0;1;1;0;0;0;2;57;382500.0;4.225.959.465.286.760;10.855.801.282.709.400;Working;Higher education;Married;House / apartment;Other;0
5009805;0;0;0;1;1;0;0;1;3;9;202500.0;3.234.289.547.355.520;8.942.004.284.824.460;Working;Secondary / secondary special;Married;House / apartment;Sales staff;0
5009819;0;1;0;0;1;0;0;0;2;8;99000.0;40.748.269.985.009.900;14.940.758.537.136.200;Working;Secondary / secondary special;Married;House / apartment;Cooking staff;0
